Geneid,SRR085474,SRR085473,SRR085726,SRR085471,SRR087416,SRR085725
ACP6,76,50,51,83,53,65
ACP7,14,13,27,26,26,74
ACR,0,0,0,0,0,0
ACRBP,6,5,9,5,10,21
ACRV1,5,4,8,4,9,1
ACR_1,0,0,0,0,0,0
ACSBG1,354,93,111,495,69,273
ACSBG2,3,1,1,2,1,7
ACSF2,78,88,59,70,49,119
ACSF3,178,75,130,196,120,134
ACSL1,499,138,556,393,480,469
ACSL3,981,96,482,951,576,924
ACSL3-AS1,1,0,1,0,1,3
ACSL4,467,24,201,415,216,489
ACSL5,38,15,62,34,31,52
ACSL6,801,67,222,984,265,1034
ACSL6-AS1,6,2,2,5,4,3
ACSM1,2,7,13,2,11,1
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,6,1,6,2,1,6
ACSM4,0,0,0,0,0,0
ACSM5,16,9,4,20,3,16
ACSM6,0,0,0,1,1,1
ACSS1,623,398,430,742,302,481
ACSS2,405,172,400,385,359,323
ACSS3,112,57,68,118,66,131
ACTA1,21,8,19,24,23,13
ACTA2,166,232,44,206,53,165
ACTA2-AS1,9,3,1,5,3,3
ACTB,1338,757,1270,1466,1212,1422
ACTBL2,0,0,0,0,0,0
ACTC1,47,24,23,24,28,26
ACTE1P,0,0,0,1,0,1
ACTG1,0,0,0,0,0,0
ACTG1P17,5,3,3,2,1,5
ACTG1P20,51,17,39,46,28,48
ACTG1P25,10,6,6,9,10,10
ACTG1P4,41,2,31,19,12,42
ACTG1_1,0,0,0,0,0,0
ACTG2,24,55,2,21,4,32
ACTL10,2,1,3,5,1,1
ACTL6A,48,21,66,58,48,58
ACTL6B,451,110,370,471,342,397
ACTL7A,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0
ACTL8,0,1,1,1,1,0
ACTL9,0,0,0,0,0,1
ACTMAP,83,47,66,82,37,56
ACTN1,922,229,739,874,688,735
ACTN1-DT,1,0,0,0,0,0
ACTN2,721,101,548,618,504,417
ACTN3,3,0,2,3,1,6
ACTN4,0,0,0,0,0,0
ACTN4_1,0,0,0,0,0,0
ACTR10,370,27,209,372,254,289
ACTR1A,1328,513,1114,1354,960,1028
ACTR1B,0,0,0,0,0,0
ACTR1B_1,0,0,0,0,0,0
ACTR2,718,134,395,691,375,752
ACTR3,602,120,431,598,425,638
ACTR3-AS1,0,0,2,1,4,7
ACTR3B,253,37,199,291,174,174
ACTR3BP2,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0
ACTR3BP5_1,0,0,0,0,0,0
ACTR3C,114,50,170,115,169,287
ACTR5,87,32,87,83,81,81
ACTR6,138,19,117,162,144,165
ACTR8,293,72,221,292,207,362
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,13,2,7,20,10,12
ACVR1,178,48,90,192,73,141
ACVR1B,904,173,671,787,556,693
ACVR1C,104,18,39,75,51,85
ACVR2A,142,11,119,156,100,147
ACVR2B,234,67,176,194,143,309
ACVR2B-AS1,13,0,2,12,3,14
ACVRL1,108,213,173,121,135,147
ACY1,5,0,1,2,2,3
ACY3,83,7,2,90,3,14
ACYP1,76,38,124,80,124,91
ACYP2,176,86,193,216,222,192
ADA,37,44,132,50,117,39
ADA2,122,54,58,101,48,166
ADAD1,0,0,0,0,0,0
ADAD2,8,4,6,10,9,1
ADAM10,440,109,458,422,456,652
ADAM11,1021,316,678,933,638,1119
ADAM12,29,14,41,16,31,29
ADAM15,31,31,49,25,30,41
ADAM15-EFNA4,0,0,1,1,2,1
