Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(pvalue),Significant,Regulation
ARMH1,42.45233339677457,-1.626465318179353,0.509899456695335,-3.1897765271618366,0.0014238284817018557,0.01594786434349103,2.8465423238570637,True,Downregulated
ARRDC2,554.9285450838845,-1.4863708112335392,0.3397925663359831,-4.3743476417427924,1.2179615217015562e-05,0.0005201242012860076,4.914366431881019,True,Downregulated
ASIC3,183.6527467439906,-1.1939504389988975,0.4424243233087383,-2.6986546084757626,0.006962039063383882,0.04357331873196757,2.157263544257064,True,Downregulated
ASPHD1,855.3410065558819,-1.0626291831131194,0.38907037839843583,-2.731200425710413,0.006310408217292364,0.04078832148437576,2.1999425455446016,True,Downregulated
ASPRV1,76.69287586943568,-1.122472821180239,0.29841850288755006,-3.7614049072661184,0.0001689616567556172,0.003700466054925121,3.7722118406454843,True,Downregulated
ATAD3C,37.92042107286356,-2.910276865914032,0.4276116480942142,-6.805887722854595,1.0042801538903277e-11,7.067075778571718e-09,10.998145119544935,True,Downregulated
ATG4B,739.6816611679169,-1.077367688498809,0.25397865518635765,-4.241961544793153,2.2157466384662675e-05,0.0008301356329531607,4.654479900896102,True,Downregulated
ATOH8,169.2797884746565,-2.0185758875499973,0.409803027817817,-4.92572223855647,8.404932123286314e-07,7.426596347176573e-05,6.07546578949414,True,Downregulated
ATP2A1-AS1,9.431498438650957,-2.1484883830106503,0.7347023784653683,-2.924297574071245,0.0034523454000605293,0.02828117427878762,2.4618857605129625,True,Downregulated
AUP1,455.20060093897695,-1.0706236236892543,0.23027367812754318,-4.649353032421974,3.3297784985478097e-06,0.00020034373605574832,5.477584655399963,True,Downregulated
AXIN1,299.87009581691785,-1.0765381425822003,0.30778380709807146,-3.497708838981171,0.00046927314441069025,0.007453568049349384,3.328574298904853,True,Downregulated
AZGP1,177.1120410737235,-3.0532234065669055,0.31777563573044476,-9.608110450471484,7.389250405715332e-22,1.1959501781650265e-17,21.131399615891127,True,Downregulated
B4GALNT4,842.2103043382982,-1.055170803639283,0.32756744075652233,-3.2212322482428317,0.001276406667655339,0.014830324419240244,2.8940109358179527,True,Downregulated
BAIAP2L2,106.33085404332236,-1.307580425849526,0.2681485409781864,-4.876328698562251,1.0807845873037437e-06,8.879440886046239e-05,5.966260857265691,True,Downregulated
BATF2,21.53254375599421,-1.293523657465092,0.46065613958308876,-2.8080026430034772,0.004984981767960968,0.03549714907314993,2.302336425735159,True,Downregulated
BAX,117.67602470238177,-1.0756392406749304,0.2805529559593384,-3.8339971753169726,0.00012607758947300125,0.0029920319437251102,3.899362103222079,True,Downregulated
