Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(pvalue),Significant,Regulation
C5orf24,282.775109184728,0.6077313767070074,0.35237224429899294,1.7246857167085456,0.08458412648189806,0.21949560479549785,1.0727111313834574,False,Not Significant
C5orf34,10.10147099509403,0.7587979851405124,0.6850107069265062,1.107716970651559,0.2679840678440065,0.4606331922318655,0.5718910248260987,False,Not Significant
C5orf46,2.6485054351212334,3.320186580721544,4.002157014552347,0.8295992807500872,0.40676538357281455,,0.390656013377094,False,Not Significant
C5orf63,14.097479860496163,0.2035142187195753,0.5443982544036001,0.3738333418106373,0.7085283118646613,0.8259529478197596,0.14964279123030805,False,Not Significant
C6orf118,1.8641415122045546,-0.24044956557172148,1.3684321975495795,-0.1757117130116414,0.860520432827276,,0.06523881300779684,False,Not Significant
C6orf120,162.1108419448826,1.1983603494069581,0.4162636523367109,2.878849360687438,0.003991289315588536,0.03099612339288854,2.3988867904796685,True,Upregulated
C6orf141,12.44888237904249,2.822595588848356,0.7174088612015377,3.934430896380328,8.33940569984815e-05,0.00225606393286947,4.078864897860223,True,Upregulated
C6orf147,18.649161992001424,-0.7243408533624018,0.4653423763815503,-1.5565761687014072,0.11957114552111103,0.27682148337279106,0.9223736100871325,False,Not Significant
C6orf163,6.616667627074977,-1.5213132369292455,0.8244544881571427,-1.8452361637690304,0.0650031919861201,0.1837367555528037,1.187065316773737,False,Not Significant
C6orf226,46.30613999913364,-0.569788018207124,0.49660249576750964,-1.1473724418692353,0.2512277257751331,0.4421618901338113,0.5999324330610961,False,Not Significant
C6orf62,471.59472412218605,0.6044739325626486,0.21831424604190913,2.768824955411336,0.005625885197124078,0.03793184303937492,2.2498091343756212,True,Upregulated
C6orf89,754.2543397554233,0.18869112096243648,0.22928836729664417,0.8229424073586576,0.4105407453806289,0.6014303008676212,0.3866437335120941,False,Not Significant
C7,23.383765431615192,0.6152221501661684,0.4981967639830745,1.2348979251641017,0.21686849575193157,0.403682185594596,0.6638035328859352,False,Not Significant
C7orf25,104.85302760462802,-0.22657849294278506,0.28195564358900604,-0.8035962325799666,0.4216301996145261,0.609075756940477,0.3750682899771326,False,Not Significant
C7orf50,408.3493864877826,-0.5461938619658103,0.3506971389835634,-1.557451719021322,0.11936327505889979,0.27641931704511274,0.92312927364742,False,Not Significant
C7orf57,1.7331435351070095,0.7270834855169978,1.4223181864136043,0.5111960828894054,0.6092137612758359,,0.21523029512808423,False,Not Significant
C8G,7.363709668779264,-1.378167595606093,0.8023471928477058,-1.717669866475976,0.08585684870001764,0.22164482920330078,1.066225055960346,False,Not Significant
C8orf34,39.25728125933301,1.2797022074849898,0.35623860695846327,3.5922614295260833,0.00032782072835741907,0.005956657795456858,3.4843635891223483,True,Upregulated
C8orf34-AS1,6.555400143200398,1.2917602069496588,0.909370481354981,1.420499382193393,0.15546234832551895,0.3270711175937247,0.808374776376371,False,Not Significant
C8orf44,23.31885151777443,0.4704662670714174,0.45166085703620557,1.0416361297248844,0.2975804112793211,0.49175238856351405,0.526395660334811,False,Not Significant
C8orf48,4.042672670871888,0.2621809041310858,0.9460577833530884,0.27712990553478106,0.7816803594741164,,0.10697080000293283,False,Not Significant
C8orf58,17.472284030150107,-0.7059789941730066,0.6115407617273784,-1.1544267174912017,0.24832526679099332,0.439106789360016,0.6049790892669071,False,Not Significant
C8orf76,15.595198355394944,-0.2213890213994472,0.5041958325670854,-0.43909331870566465,0.6605939200846809,0.7935658425421629,0.180065427746973,False,Not Significant
C8orf82,163.20874404426607,-1.4046646363124882,0.49626891954124913,-2.8304505500988455,0.004648249592164057,0.034087865722326804,2.3327105601381004,True,Downregulated
C8orf88,3.8409715273065963,-0.6189214637261758,1.037218239958524,-0.5967128612691242,0.5506991043178628,,0.2590856298744938,False,Not Significant
C9orf153,2.120188270838199,-2.870654053616811,1.809403179778451,-1.5865198457141556,0.1126214338850613,,0.9483789475650196,False,Not Significant
C9orf163,8.792242047459844,-1.0722753924675077,0.798426738267584,-1.3429853248578785,0.1792767257672404,0.3574712093806562,0.7464760881675797,False,Not Significant
C9orf40,69.51136231292446,-0.12242314526984648,0.392138087239158,-0.31219396751732204,0.7548931163893356,0.8564980784270171,0.12211453479245457,False,Not Significant
C9orf43,2.2846945411040434,0.7713667345895745,1.419349259844285,0.5434650627670036,0.5868096394372324,,0.23150276067740153,False,Not Significant
C9orf50,4.812707040736398,0.0946171897099691,0.9875324807479959,0.09581172422632855,0.923670105615076,,0.03448311199747678,False,Not Significant
C9orf72,125.97487365427635,0.8282231122986949,0.4051745766568309,2.044114216475561,0.040942265025339625,0.13567783772217892,1.387828134785485,False,Not Significant
C9orf78,316.1042150224585,-0.6717662948720476,0.22972969448084532,-2.9241596145859106,0.003453875927296813,0.02828117427878762,2.4616932675381515,True,Downregulated
C9orf85,45.4864052642786,0.14520714970540172,0.34714430869840784,0.41829045174280777,0.6757347698761227,0.8038950696814385,0.17022373391380566,False,Not Significant
CA10,423.6887501869135,0.9551470659774581,0.38455577087150095,2.4837673448843387,0.013000071122416376,0.06538413645628,1.8860542716940496,False,Not Significant
CA11,1388.1742325837029,-0.8403662792272616,0.34167869773907705,-2.459522015238443,0.013912216470346298,0.06838680471122237,1.8566036734474451,False,Not Significant
CA12,35.72660789761131,2.15215998610321,0.47217930227868615,4.5579295316781545,5.1660363189274375e-06,0.0002759481776298369,5.28684254491951,True,Upregulated
CA13,15.419612052691392,0.17896306777710966,0.5058803730987711,0.353765588257301,0.723514564487398,0.835354948290004,0.1405527220254637,False,Not Significant
CA14,84.31394975280016,0.7041911318913487,0.34293184282690947,2.053443407548422,0.040029593061914615,0.13383579774028523,1.3976188248802377,False,Not Significant
CA2,419.47034829215795,-0.251998185189299,0.42744717992588394,-0.5895422803654794,0.5554975582617183,0.718166625167019,0.2553178456984378,False,Not Significant
CA3,8.4396603861077,-1.0471599143105037,0.7213989423669241,-1.451568408008406,0.14662164831681,0.3155260441440726,0.8338019024750616,False,Not Significant
CA3-AS1,5.6781107306658525,-0.5664141440641073,0.837373114029465,-0.6764178770184119,0.49877537018167184,,0.3020950003785148,False,Not Significant
CA4,130.59102304492293,0.7670135157045845,0.37061538528526516,2.069567390231814,0.03849287445720228,0.1301728318198535,1.4146196567336877,False,Not Significant
CA5BP1,73.13214539599097,-1.0173986250547722,0.3023607660254108,-3.3648500049416756,0.000765852807199889,0.010363986358302846,3.1158546914163434,True,Downregulated
CA5BP1-CA5B,3.355305865529193,1.8383135727969342,1.2483588866590432,1.4725842002989817,0.14086318765922365,,0.8512024879787083,False,Not Significant
CA7,71.44013848453001,-0.537987311779777,0.3792539751840841,-1.4185409962246174,0.15603287843965924,0.3277092489392239,0.8067838797197603,False,Not Significant
CA8,146.5246892647792,1.478539447453405,0.5660634402539408,2.611967744799275,0.009002274714207633,0.051522176689945305,2.0456477382266813,False,Not Significant
CA9,9.135915432715747,1.817488731948843,1.1424541558009986,1.5908636007145196,0.1116402757835411,0.26486545848646276,0.9521790993499941,False,Not Significant
CAAP1,40.026667888387664,0.839915112313103,0.40249990395650087,2.0867461185875826,0.036911090018805284,0.1269186301156498,1.4328431294951467,False,Not Significant
CAB39,559.0135398349711,0.5515647721496146,0.2979620062691591,1.8511245076372846,0.06415164309083107,0.18224875829252435,1.1927922157326578,False,Not Significant
